id_rna;nom_association;objet;code_objet_1;code_objet_2;date_creation;date_publication;code_postal;commune;statut
353P0353012509;ASSOCIATION JEUNES OENOLOGUES RENNAIS;Connaissance du vin et promotion sur les jeunes gens de breta- gne;023020;006000;;;35000;RENNES;A
353P0353012512;TATTOO CLUB DE RENNES;Promouvoir valoriser diffuser la dermaplastie artistique esthe tique et medicale;006000;000000;;;35000;RENNES;A
353P0353012513;ASSOCIATION DES CHASSEURS SOUS TERRE D'ILLE-ET-VILAINE;Reguler les populations animales chassables sous terre, parti- ciper aux differentes manifestations de la chasse, promouvoir la chasse sous terre selon l'ethique de la venerie;013005;000000;;;35000;RENNES;A
353P0353012515;ASSOCIATION DE COORDINATION DES ACTIONS DE FORMATION  CONTINUE ET D'EVALUATION EN MEDECINE SPECIALISEE D'ILLE ET VILAINE (A.FOR.SPE 35);Definir developper et coordonner la formation medicale conti- nue et l'evaluation pour la medecine specialisee;017000;000000;;;35000;RENNES;A
353P0353012517;OUEST INITIATIVES;Organisation et elaboration d'etudes et de recherches scienti- fiques et techniques dans les domaines de l'urbanisme de l'ame nagement et de l'informatique;006000;005000;;;35000;RENNES;A
353P0353012518;LES INSATIABLES;Troupe de the~ID~tre amateur;006070;000000;;;35310;CHAVAGNE;A
353P0353012520;LES AMIS DE L'ORGUE D'ACIGNE;Animation et coordination de toutes activites culturelles et musicales autour de l'orgue et de la musique a caractere spiri tuel;006000;006030;;;35690;ACIGNE;A
353P0353012522;OLYMPIQUE CLUB DES LONGCHAMPS;Promouvoir la pratique et le developpement du football;011075;000000;;;35000;RENNES;A
353P0353012523;RELAXASONS;Pratique et promotion de la relaxation par la musique et des techniques psycho-musicales;007000;006030;;;35000;RENNES;A
353P0353012527;ASSOCIATION AGREEE DES NOTAIRES DE L'OUEST;Developper l'usage de la comptabilite chez ses membres adheren ts et de faciliter l'accomplissement de leurs obligations admi nistratives et fiscales;023000;000000;;;35000;RENNES;A
353P0353012529;LE PETIT JARDIN RENCONTRE;Organiser des rencontres autour d'activites creatives, educati ves et culturelles reunissant enfants et adultes afin d'aider a l'epanouissement du jeune enfant dans sa relation avec son environnement;019010;000000;;;35131;CHARTRES-DE-BRETAGNE;D
353P0353012532;FORUM BRETAGNE - ASIE (F. B-A);Rassembler les associations les organismes les personnes ayant un lien avec l'asie dans le but de favoriser l'amitie avec les peuples la paix la liberte la democratie la dignite et les ech anges;020000;000000;;;35510;CESSON-SEVIGNE;A
353P0353012533;UNION REGIONALE DES ASSOCIATIONS FAMILIALES DES MAISONS   BRETAGNE (U.R.A.F.M.A.);Permettre a des familles de la region parisienne et des agglo- merations urbaines de condition modeste qui n'ont pas les mo- yens d'utiliser les differentes formules habituelles de vacan- ces de prendre des vacances a la campagne etc...;020000;018050;;;35000;RENNES;A
