id_dept,id_commune,nom_commune,nb_inscrits,nb_exprimes,nb_abs,nb_votants,nb_blancs_nuls,candidat_id,cand_voix,cand_orientation,années,type_election
35,1,Acigné,4103,2806,1254,2849,43,0,43.0,Extrême Gauche,2002,législative
35,1,Acigné,4103,2806,1254,2849,43,1,47.0,Extrême Gauche,2002,législative
35,1,Acigné,4103,2806,1254,2849,43,2,41.0,Gauche,2002,législative
35,1,Acigné,4103,2806,1254,2849,43,3,976.0,Gauche,2002,législative
35,1,Acigné,4103,2806,1254,2849,43,4,48.0,Gauche,2002,législative
35,1,Acigné,4103,2806,1254,2849,43,5,189.0,Écologie,2002,législative
35,1,Acigné,4103,2806,1254,2849,43,6,25.0,Écologie,2002,législative
35,1,Acigné,4103,2806,1254,2849,43,7,26.0,Régionalisme,2002,législative
35,1,Acigné,4103,2806,1254,2849,43,8,12.0,Droite,2002,législative
35,1,Acigné,4103,2806,1254,2849,43,9,1278.0,Droite,2002,législative
35,1,Acigné,4103,2806,1254,2849,43,10,20.0,Droite,2002,législative
35,1,Acigné,4103,2806,1254,2849,43,11,92.0,Extrême Droite,2002,législative
35,1,Acigné,4103,2806,1254,2849,43,12,9.0,Extrême Droite,2002,législative
35,2,Amanlis,1092,737,346,746,9,0,18.0,Extrême Gauche,2002,législative
35,2,Amanlis,1092,737,346,746,9,1,12.0,Extrême Gauche,2002,législative
35,2,Amanlis,1092,737,346,746,9,2,9.0,Gauche,2002,législative
35,2,Amanlis,1092,737,346,746,9,3,155.0,Gauche,2002,législative
35,2,Amanlis,1092,737,346,746,9,4,11.0,Gauche,2002,législative
35,2,Amanlis,1092,737,346,746,9,5,27.0,Écologie,2002,législative
35,2,Amanlis,1092,737,346,746,9,6,2.0,Écologie,2002,législative
35,2,Amanlis,1092,737,346,746,9,7,5.0,Régionalisme,2002,législative
35,2,Amanlis,1092,737,346,746,9,8,14.0,Droite,2002,législative
35,2,Amanlis,1092,737,346,746,9,9,382.0,Droite,2002,législative
35,2,Amanlis,1092,737,346,746,9,10,48.0,Droite,2002,législative
35,2,Amanlis,1092,737,346,746,9,11,50.0,Extrême Droite,2002,législative
35,2,Amanlis,1092,737,346,746,9,12,4.0,Extrême Droite,2002,législative
35,3,Andouillé-Neuville,351,232,108,243,11,0,3.0,Extrême Gauche,2002,législative
35,3,Andouillé-Neuville,351,232,108,243,11,1,4.0,Extrême Gauche,2002,législative
35,3,Andouillé-Neuville,351,232,108,243,11,2,4.0,Extrême Gauche,2002,législative
35,3,Andouillé-Neuville,351,232,108,243,11,3,2.0,Gauche,2002,législative
35,3,Andouillé-Neuville,351,232,108,243,11,4,64.0,Gauche,2002,législative
35,3,Andouillé-Neuville,351,232,108,243,11,5,7.0,Écologie,2002,législative
35,3,Andouillé-Neuville,351,232,108,243,11,6,0.0,Gauche,2002,législative
35,3,Andouillé-Neuville,351,232,108,243,11,7,1.0,Écologie,2002,législative
35,3,Andouillé-Neuville,351,232,108,243,11,8,1.0,Écologie,2002,législative
35,3,Andouillé-Neuville,351,232,108,243,11,9,1.0,Régionalisme,2002,législative
35,3,Andouillé-Neuville,351,232,108,243,11,10,6.0,Droite,2002,législative
35,3,Andouillé-Neuville,351,232,108,243,11,11,0.0,Divers,2002,législative
35,3,Andouillé-Neuville,351,232,108,243,11,12,83.0,Centre,2002,législative
35,3,Andouillé-Neuville,351,232,108,243,11,13,43.0,Droite,2002,législative
35,3,Andouillé-Neuville,351,232,108,243,11,14,0.0,Droite,2002,législative
35,3,Andouillé-Neuville,351,232,108,243,11,15,10.0,Extrême Droite,2002,législative
35,3,Andouillé-Neuville,351,232,108,243,11,16,3.0,Extrême Droite,2002,législative
35,4,Antrain,1041,641,379,662,21,0,16.0,Extrême Gauche,2002,législative
35,4,Antrain,1041,641,379,662,21,1,21.0,Extrême Gauche,2002,législative
35,4,Antrain,1041,641,379,662,21,2,13.0,Gauche,2002,législative
35,4,Antrain,1041,641,379,662,21,3,87.0,Gauche,2002,législative
35,4,Antrain,1041,641,379,662,21,4,87.0,Écologie,2002,législative
35,4,Antrain,1041,641,379,662,21,5,4.0,Écologie,2002,législative
35,4,Antrain,1041,641,379,662,21,6,10.0,Régionalisme,2002,législative
35,4,Antrain,1041,641,379,662,21,7,4.0,Divers,2002,législative
35,4,Antrain,1041,641,379,662,21,8,318.0,Droite,2002,législative
35,4,Antrain,1041,641,379,662,21,9,34.0,Droite,2002,législative
35,4,Antrain,1041,641,379,662,21,10,42.0,Extrême Droite,2002,législative
35,4,Antrain,1041,641,379,662,21,11,5.0,Extrême Droite,2002,législative
35,5,Arbrissel,183,113,69,114,1,0,3.0,Extrême Gauche,2002,législative
35,5,Arbrissel,183,113,69,114,1,1,1.0,Extrême Gauche,2002,législative
35,5,Arbrissel,183,113,69,114,1,2,0.0,Gauche,2002,législative
35,5,Arbrissel,183,113,69,114,1,3,10.0,Gauche,2002,législative
35,5,Arbrissel,183,113,69,114,1,4,0.0,Gauche,2002,législative
35,5,Arbrissel,183,113,69,114,1,5,2.0,Écologie,2002,législative
35,5,Arbrissel,183,113,69,114,1,6,1.0,Écologie,2002,législative
35,5,Arbrissel,183,113,69,114,1,7,1.0,Régionalisme,2002,législative
35,5,Arbrissel,183,113,69,114,1,8,4.0,Droite,2002,législative
35,5,Arbrissel,183,113,69,114,1,9,84.0,Droite,2002,législative
35,5,Arbrissel,183,113,69,114,1,10,1.0,Droite,2002,législative
35,5,Arbrissel,183,113,69,114,1,11,6.0,Extrême Droite,2002,législative
35,5,Arbrissel,183,113,69,114,1,12,0.0,Extrême Droite,2002,législative
35,6,Argentré-du-Plessis,2850,1906,908,1942,36,0,30.0,Extrême Gauche,2002,législative
