pop_1564,actifs_1564,actifs_occupes_1564,chomeurs_1564,code_insee
525.0,431.0,403.0,28.0,01001
166.0,133.0,131.0,2.0,01002
9752.37381715907,7479.60020720097,6473.85556597734,1005.74464122363,01004
1228.75377077801,999.457256892939,936.133859598941,63.3233972939973,01005
72.0,51.0,46.0,5.0,01006
1739.30825960954,1395.39184852185,1289.7203567283,105.671491793554,01007
490.088621213521,390.722554235342,372.420821234877,18.3017330004654,01008
197.519747245533,160.395418901757,156.705301506973,3.69011739478447,01009
723.611068461566,553.187740694943,512.130983736899,41.0567569580445,01010
231.923014611807,190.497124531747,178.97602118763,11.5211033441165,01011
192.956372014792,155.129029577064,143.345030986392,11.7839985906719,01012
87.2463768115943,67.9710144927537,61.8840579710146,6.08695652173914,01013
2070.93334163366,1582.06606709559,1412.85230508925,169.213762006345,01014
395.516735215926,325.011419467084,317.53683580693,7.47458366015398,01015
257.990753173682,216.968855239276,200.930991062997,16.0378641762785,01016
243.0,176.0,158.0,18.0,01017
14.4230769230769,12.5,8.65384615384616,3.84615384615385,01019
934.143069362357,737.13986301061,699.778897620621,37.3609653899898,01021
652.0,504.0,448.0,56.0,01022
49.6447368421052,37.4868421052631,32.4210526315789,5.0657894736842,01023
2055.59113568949,1707.16868956891,1588.39260643934,118.776083129571,01024
2532.01048326141,2026.83567145924,1882.19803542891,144.63763603033,01025
559.902542358237,467.447361280995,426.651912049071,40.7954492319244,01026
2078.29352635645,1629.72838348423,1493.9329267132,135.795456771027,01027
358.206089133594,291.811773919185,280.072918850642,11.7388550685432,01028
468.038220787969,360.083236203841,331.228821733061,28.8544144707806,01029
538.806265458153,431.497140365318,396.468213990432,35.0289263748866,01030
2216.17620161524,1540.60049443257,1323.43161175213,217.168882680441,01031
2107.88603824223,1697.23842731206,1559.55468626236,137.683741049696,01032
10340.451785053,7975.26406370865,6802.8231243368,1172.44093937185,01033
5303.0,3921.0,3453.0,468.0,01034
195.085689154238,156.226995287989,149.231174127674,6.99582116031494,01035
757.0,580.0,542.0,38.0,01036
191.0,150.0,137.0,13.0,01037
465.0,376.0,358.0,18.0,01038
306.314355312498,252.070034867609,237.850946210313,14.2190886572956,01040
480.776232855412,394.030084401215,359.828275399362,34.2018090018521,01041
184.0,152.0,145.0,7.0,01042
3067.64810464268,2407.76154183169,2246.16334946608,161.598192365605,01043
406.505584216259,342.328485984743,302.236030006341,40.0924559784024,01044
182.65052869609,156.277530777211,149.458988218048,6.81854255916277,01045
576.608642810256,471.060309756917,453.005464715121,18.0548450417959,01046
900.202480523459,763.921601857977,708.4579961533,55.4636057046778,01047
2130.53656948641,1662.45636627005,1524.83834485711,137.618021412935,01049
235.7050272222,191.22715389003,181.114980652428,10.1121732376024,01050
55.747572815534,42.2912621359223,37.4854368932039,4.80582524271844,01051
184.428822445734,143.790362915039,139.781400465282,4.00896244975648,01052
25629.0807522521,18060.2655422798,15213.0392568195,2847.22628546029,01053
976.37159402089,821.284053641988,791.232098259163,30.0519553828248,01054
202.208734191003,168.618881210815,158.743518994985,9.87536221582972,01056
314.176749841506,250.985544821697,239.899217850347,11.0863269713495,01057
481.318370422445,380.785220171049,348.131315027105,32.6539051439442,01058
311.067779259802,266.548024929899,251.382792257575,15.1652326723236,01060
686.647107201259,532.797084804803,488.216969675285,44.5801151295174,01061
624.885746790107,511.139374139498,477.029475669281,34.1098984702167,01062
339.0,269.0,247.0,22.0,01063
736.421827757711,593.838273443776,550.582859602173,43.2554138416036,01064
1137.20920642948,923.534480540241,871.224102533957,52.3103780062842,01065
61.0337078651686,38.1460674157304,32.6966292134832,5.4494382022472,01066
188.936963540427,156.322320918494,146.999508427583,9.3228124909103,01067
456.369766083369,371.212647016891,330.726286582855,40.486360434036,01068
948.676348826936,778.628012061672,730.442141336131,48.185870725541,01069
3737.43593400029,3147.95569356257,2927.77919447979,220.176499082777,01071
1944.24465222793,1530.76465386842,1440.69315521209,90.0714986563303,01072
575.927579086198,452.90570630893,426.770649405213,26.1350569037168,01073
1536.0,1266.0,1178.0,88.0,01074
949.458065404616,787.418039431867,736.163390800771,51.2546486310959,01075
76.7906976744186,49.2248062015504,43.3178294573644,5.90697674418605,01076
95.0,82.0,75.0,7.0,01077
1004.56462888345,817.030762749516,763.90214900125,53.1286137482655,01078
406.481444404137,305.575011123039,284.114162107654,21.4608490153847,01079
380.179278003714,308.281637612145,286.608877201659,21.6727604104859,01080
441.170726740386,361.71181932451,328.927327923561,32.7844914009495,01081
365.310839860912,257.297146078343,247.93769635965,9.35944971869286,01082
674.0,572.0,541.0,31.0,01083
557.66794076086,458.570182249159,431.802188854445,26.7679933947148,01084
245.0,212.0,207.0,5.0,01085
175.063137645947,132.912352906288,122.842698269712,10.069654636576,01087
630.851948271626,511.691094003327,487.079870859963,24.6112231433641,01088
1519.86371092401,1211.81109322934,1130.50322281402,81.3078704153158,01089
201.303532331735,158.682209829037,146.628838231739,12.0533715972988,01090
1030.11573556046,827.433609101415,778.408162631206,49.0254464702096,01092
2897.58305081405,2280.31296473371,2078.73274081351,201.580223920198,01093
480.273236040636,391.694534972175,363.901906505161,27.7926284670137,01094
507.0,399.0,368.0,31.0,01095
650.564851082255,531.059183063126,502.149880423034,28.9093026400919,01096
